region,child_mortality_percent,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,poverty_percent,welfare_expense_share,real_incomes,real_pay,living area,bad conditions,no funds,population,grp,reg_prod_total,retail,newborn_per_population,disabled_percent,all crimes,alco,drug
Республика Мордовия,0.2668659774705667,65931.9,5.000584958242754,701.3,0.0,17.6,22.5,4.622027303054514,105.1,3.044522437723423,0.09531017980432493,0.0,13.580038825951416,12.744938054337357,6.461196611465614,11.754521713226655,0.5326079999131674,1.4195278498993913,8.19229373114764,64.1,1.0647107369924282
Республика Саха (Якутия),0.41679732632898775,104555.1,5.473530384104697,484.6,3.462606009790799,17.3,16.8,4.61015772749913,101.8,2.8622008809294686,1.824549292051046,1.0767074532800598,13.78710799701806,13.970934854968172,7.564966810574955,12.431932504338612,0.8471679278373001,1.360504666104893,8.479491324232226,129.0,1.410986973710262
Республика Северная Осетия-Алания,0.3397244425930456,72233.0,6.011757250375744,193.8,0.0,13.9,25.0,4.560172820057356,103.0,2.856470206220483,1.2809338454620642,0.0,13.454308238050672,12.49805321618702,4.640077393951672,12.004378648896147,0.7749921284019707,1.5554404165012712,8.02059914989697,46.3,2.341805806147327
Республика Татарстан,0.3426484771192946,79394.9,5.051137237405586,346.1,4.74493212836325,6.6,13.7,4.581901559048737,103.1,2.8449093838194073,0.5306282510621704,1.155307632344655,15.177227606096539,13.423389619079584,7.236875395376123,12.381382175424752,0.7255302077677165,1.32386882603143,9.688993982035823,48.9,2.33214389523559
Республика Тыва,0.4362828049589961,60756.5,5.834518296645255,389.7,0.0,31.7,23.8,4.71760561531788,107.0,2.681021528714291,2.2512917986064953,1.9980145429841067,12.698889072841066,12.436393974851287,4.964877815059825,11.250547200404737,1.1021026049166331,1.6706148197548933,7.937017489515454,88.9,2.617395832834079
Республика Хакасия,0.33059143913295874,86026.5,4.541164856012179,331.0,0.0,18.5,24.1,4.623010104116422,104.0,2.9391619220655967,0.6931471805599453,0.0,13.188643506062698,13.1232106183943,6.789364047408142,12.075838667596324,0.6947724019542829,1.1624039403440314,8.521981708148035,79.1,2.9391619220655967
Ростовская область,0.43707389896130866,81083.3,4.599152113662528,204.9,2.2300144001592104,13.0,27.8,4.601162164590552,102.1,2.954910279033736,0.5877866649021191,0.6032224730319583,15.25007637732036,12.909046634463214,6.24648557767641,12.358196988007622,0.6254791783800917,1.5841320092121882,9.7626725558939,29.6,2.451005098112319
Рязанская область,0.4244012587872718,70384.8,5.701780471985528,427.7,0.0,12.8,22.0,4.58700621536042,101.8,2.995732273553991,0.26236426446749106,0.1292723357041391,13.918832196524079,12.93083016327074,6.562874489452814,12.187878124537677,0.5792441483366414,1.5253994715803911,8.188966863648876,51.1,2.9014215940827497
Самарская область,0.38156016364125933,97537.6,5.787817203599275,446.7,1.8870696490323797,12.3,23.4,4.589040804058207,102.6,2.884800712846709,0.5877866649021191,0.5364933705145685,14.972244888626145,13.132500621481201,6.88193463505782,12.269202362268679,0.6313239442721263,1.2602356330942837,9.67990640549087,49.4,2.5726122302071057
Санкт-Петербург,0.2960391611444131,101498.4,5.543222409643759,403.5,2.5494451709255714,5.9,19.8,4.625952725170619,101.0,2.8154087194227095,0.09531017980432493,0.3930550880314829,15.501551113984439,13.786245482580773,6.97210563872704,12.554949765310113,0.7065649347927,1.1651263716288711,9.29090601981575,14.7,2.341805806147327
Саратовская область,0.28307188021508484,74819.3,6.16541785423142,466.6,1.0296194171811581,14.8,27.7,4.619073091157083,104.7,2.9338568698359038,1.1631508098056809,0.400184523664239,14.700061262453998,12.789632054830662,6.155767630017374,12.011674458910758,0.5708491013933054,1.179941938878962,9.166701914946353,48.6,1.9021075263969205
Сахалинская область,0.3695941707811944,83995.5,5.371567828287629,496.0,3.475067230228611,7.7,16.5,4.601162164590552,101.7,2.9014215940827497,0.47000362924573563,0.0,13.098599233653335,14.537831758008508,8.121932851711438,12.733129822006436,0.7631832203924972,1.0898945442410055,8.101071503119543,106.1,2.9652730660692823
Свердловская область,0.3462252272006666,75208.5,4.579852378003801,436.4,2.517696472610991,9.0,23.5,4.537961436294641,102.1,2.8213788864092133,0.6418538861723947,0.5451111017325411,15.276606686220763,13.284943005059933,7.051953731896058,12.467959873156758,0.7033507507604956,1.2288569307603336,9.99897953399535,50.2,2.631888840136646
Севастополь,0.3038232886311662,52350.6,4.995860008514102,367.3,3.1945831322991562,11.0,13.3,4.6434288981051814,101.3,2.6878474937846906,0.7884573603642703,0.0,13.015087695652786,12.595767047214103,4.789139348971391,11.859234871869633,0.66304400991488,0.9945418083474679,7.057036981697891,90.0,3.2733640101522705
Смоленская область,0.46690913001410717,72034.9,5.776413165691109,262.8,0.0,15.6,27.2,4.598145571051127,102.5,3.0155349008501706,1.33500106673234,0.0,13.748184154291042,12.864306901079836,6.42964639613927,12.134345682676576,0.53124323404026,1.3852062070281617,8.450198322591959,72.4,2.0918640616783932
Ставропольский край,0.40683451481169797,59172.3,5.2548878086207,246.4,2.501435951739211,13.8,30.8,4.5591262474866845,102.5,2.995732273553991,0.6418538861723947,0.25588175990198314,14.846405589774465,12.639403213599639,5.657347969780073,12.133475070613589,0.683312718342811,1.4297169767658737,9.334767950351235,23.6,1.6094379124341003
Тамбовская область,0.2798145300548627,64949.8,4.833102254034098,475.7,1.7047480922384253,10.8,23.9,4.557029810660157,104.1,3.0301337002713233,0.47000362924573563,0.7131458670666344,13.82223688541795,12.843857210603371,6.0247520367729726,12.197450582139075,0.5529178819737557,1.550776551065325,8.704668113450987,45.0,1.8082887711792655
Тверская область,0.3692506244038094,86566.6,5.202356975402125,729.8,0.0,11.4,22.5,4.589040804058207,103.9,2.917770732084279,1.1631508098056809,1.0604257072828691,14.04692382076094,12.878310746901741,6.558779226571923,12.204756780158949,0.5874325640874347,1.3190350226979273,8.569595870209286,41.0,1.791759469228055
Томская область,0.37343511279619745,70726.0,5.497168225293202,616.2,0.0,14.4,23.5,4.592084946439436,103.2,2.884800712846709,1.0647107369924282,0.4885800148186709,13.891797297736254,13.158078916143523,6.490276742473105,11.997571370952834,0.6528417401012956,1.2154975736446527,8.900821604915228,44.2,2.163323025660538
Тульская область,0.46495018656215203,72165.3,4.701389043728634,313.7,2.8622008809294686,10.1,23.3,4.597138014290827,103.3,2.8678989020441064,0.5877866649021191,0.0,14.19813547003196,13.095085084822784,7.1488712947761375,12.233945561444218,0.5524203440945994,1.5267296645072594,8.430981494597171,69.0,2.302585092994046
Тюменская область без округов,0.3210729087614975,64208.6,3.7328963395307104,340.5,3.6584202466292277,13.6,21.9,4.607168188650764,102.5,2.9496883350525844,1.4586150226995167,1.8746903099196965,14.245614293465797,13.537220244551884,7.079838685894218,12.499547905022718,0.7974053701515279,1.18623417206538,9.045111892608405,61.2,2.653241964607215
